category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IPC2,NGA,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.0502,0.0529,0.0563,0.0595,0.0634,0.0667,0.07,0.0733,0.0766,0.0799,0.0832,0.0865,0.0898,0.0931,0.0964,,,,
IPC2,NLD,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,17.5,17.5,17.5,17.4,17.4,17.5,17.5,17.5,17.2,17.7,18.0,17.9,19.6,20.5,18.5,20.4,19.9,20.6,19.0,17.8,19.5,18.1,18.9,17.9,18.2,17.8,19.1
IPC2,NOR,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.47700000000000004,0.40700000000000003,0.42100000000000004,0.425,0.45899999999999996,0.483,0.473,0.711,0.9109999999999999,0.873,0.8440000000000001,0.95,0.982,0.8759999999999999,0.8029999999999999,0.8290000000000001,0.787,0.653,0.799,0.74,0.805,0.847,0.8270000000000001,0.77,0.759,0.794,0.737
IPC2,NZL,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,1.1,1.89,1.6,1.79,2.25,3.16,4.25,4.38,4.12,4.74,5.54,4.9,5.25,2.23,2.5,0.789,0.93,1.0,1.31,1.89,1.91,1.92,2.55,3.27,5.06,4.27,5.01
IPC2,OMN,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,,,,,,,,,,,,,,,,,,0.92,2.52,2.52,4.24,4.82,4.82,,,,
IPC2,PER,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.00085,0.0009050000000000001,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,0.0009599999999999999,,,,
IPC2,PHL,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0365,0.0421,0.0479,0.0309,0.0356,0.0733,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.20800000000000002,0.151,0.151,,,,
IPC2,POL,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,2.51,1.93,1.86,1.78,1.73,1.99,2.05,2.16,2.01,1.81,2.09,1.91,2.14,2.09,2.23,1.89,2.8,2.92,2.58,2.41,2.5,2.75,2.41,2.55,2.52,2.62,2.04
IPC2,PRK,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.06,0.0099,0.0099,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0282,0.0288,0.0185,0.0191,,,,
IPC2,PRT,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,1.28,1.0,1.18,1.16,1.2,1.19,1.06,1.41,1.38,1.39,1.48,1.2,1.25,1.38,1.68,1.68,1.56,1.83,1.56,1.25,1.54,1.6,1.25,1.5,1.69,1.75,1.76
