variable;country;unit;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Nuclear, Renewables, and Other;China;Quad Btu;0.592643044;0.672709127;0.758413211;0.892100044;0.890620046;0.949760899;0.969648212;1.021186138;1.092508254;1.183474043;1.273735168;1.272379587;1.330874142;1.507662466;1.731357814;1.808036554;1.836163567;1.801647516;1.896845008;2.030934565;2.003623554;2.641122026;2.798197387;2.882643751;3.607490256;4.122976767;4.457384432;4.985330778;6.29316169;7.032400296;8.229050982;8.405023836;10.36708154;11.51865188;13.19624953;14.36974666;15.91962632;-
Nuclear, Renewables, and Other;Colombia;Quad Btu;0.14947071;0.151069389;0.191262586;0.193029121;0.212455283;0.226438321;0.262476049;0.223222972;0.253020655;0.277922225;0.283539853;0.285406189;0.228887638;0.288002127;0.332972514;0.331181986;0.364690908;0.322912947;0.312968193;0.34228092;0.322290347;0.322480473;0.339058983;0.351322063;0.373565504;0.364029697;0.395879927;0.402176765;0.419605305;0.376163408;0.363007676;0.440977248;0.414488485;0.426748837;0.404811949;0.405215501;0.413492917;-
Nuclear, Renewables, and Other;Comoros;Quad Btu;0.000633776;0.000631906;0.000631908;0.00063204;0.00064188;0.000547894;0.000364983;0.000769045;0.000770022;0.000769071;0.000909635;0.000878059;0.000879618;0.000877805;0.000877819;0.000877211;0.000879614;0.000877613;6.93E-05;6.94E-05;0.000495796;(s);(s);7.92E-06;0.000204359;0.000117365;0.000464226;(s);(s);2.45E-05;0.000404561;0.000160147;0.00024562;(s);0.000393486;(s);(s);-
Nuclear, Renewables, and Other;Congo (Brazzaville);Quad Btu;0.001471096;0.001759234;0.002535909;0.003336468;0.00359498;0.003389344;0.003267762;0.003487049;0.003957811;0.004330756;0.005259086;0.00561724;0.004851315;0.004185364;0.003398984;0.00371911;0.004649009;0.005265432;0.004222327;0.00290119;0.004126512;0.00411331;0.004911864;0.005051001;0.005087221;0.00545004;0.005156608;0.004877621;0.00483737;0.004562202;0.005536661;0.007131347;0.009217992;0.009201723;0.009084225;0.009393193;0.008692973;-
Nuclear, Renewables, and Other;Congo (Kinshasa);Quad Btu;0.046068294;0.045652156;0.044857323;0.04860631;0.050591467;0.053945463;0.056667182;0.055814185;0.056287747;0.063201007;0.060496077;0.053571433;0.058030299;0.05215679;0.051025283;0.058594491;0.05886432;0.049523408;0.0461931;0.051677167;0.056808455;0.056664942;0.05771993;0.057774625;0.066053551;0.068461734;0.069660661;0.072686317;0.071165102;0.073084319;0.073992249;0.075467133;0.073882538;0.080285304;0.086881635;0.081791276;0.082517725;-
Nuclear, Renewables, and Other;Cook Islands;Quad Btu;0.000417;0.000837;0.000823;0.00083;0.00083;0.000828;0.000626523;0.000626523;0.000628239;0.000626523;0.000626523;0.000430879;0.000629273;0.000627553;0.000627554;0.000627554;0.000629273;0.000627544;0.000627542;0.000627545;0.000838104;0.000799189;0.000432692;0.000399375;0.000676274;8.42E-05;0.000154981;0.000974564;0.00100017;0.000920629;9.30E-05;0.000225538;0.000299462;0.00029825;0.000380324;0.000287719;0.000278086;-
Nuclear, Renewables, and Other;Costa Rica;Quad Btu;0.021794031;0.023634239;0.024327275;0.027853831;0.029596068;0.028517495;0.030254751;0.03145323;0.031719631;0.034876937;0.035321311;0.038329769;0.041690175;0.044925871;0.045257843;0.040967064;0.044959704;0.054978396;0.05006063;0.06116735;0.06727047;0.069887966;0.073955553;0.074089646;0.079970514;0.080348295;0.080681794;0.081643287;0.086044081;0.085915927;0.086896617;0.085842797;0.088644834;0.085842608;0.087679763;0.098924389;0.098516825;-
Nuclear, Renewables, and Other;Cote dIvoire (IvoryCoast);Quad Btu;0.013971864;0.018041883;0.018095882;0.011224859;0.00385236;0.014040768;0.012675462;0.01237045;0.012623916;0.012904073;0.013477494;0.012507752;0.010606112;0.011507168;0.011772458;0.018492295;0.017637293;0.015577204;0.011477986;0.012703476;0.01342619;0.014262601;0.012783015;0.013892097;0.013558526;0.010490648;0.012555829;0.016365727;0.017223168;0.019671013;0.014527812;0.015461088;0.015054486;0.012911046;0.01515123;0.010526762;0.009327989;-
Nuclear, Renewables, and Other;Croatia;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.043940379;0.042332335;0.055471002;0.066256811;0.080442375;0.067942925;0.070936801;0.075513268;0.074135706;0.078801439;0.06542058;0.060051063;0.080154963;0.078813444;0.077484662;0.063157879;0.072542544;0.083372093;0.103834153;0.077881303;0.077112836;0.102220039;0.109086596;0.092441238;0.096829365;-
Nuclear, Renewables, and Other;Cuba;Quad Btu;0.012904898;0.012437166;0.013244311;0.013372232;0.012688571;0.013246179;0.014333875;0.0148558;0.015695148;0.015880037;0.01823689;0.015417014;0.015642605;0.010487006;0.011331013;0.00801762;0.0110146;0.010402348;0.009571104;0.011354669;0.011559555;0.010710976;0.012066205;0.009313636;0.009716601;0.005002374;0.005550715;0.005534618;0.007716038;0.00665917;0.007067101;0.006383076;0.007345698;0.008614268;0.007587427;0.00736352;0.007088437;-
Nuclear, Renewables, and Other;Cyprus;Quad Btu;0;0;0;0;0.000527759;0.000751041;0.00104175;(s);0.000710601;0.000238938;0.000544723;0.001330239;0.000456309;0.000398837;0.000431273;(s);0.000577747;0.000603289;0.000566227;1.02E-05;0.00022333;0.0006036;0.0005972;0.000146875;0.000405135;0.000510605;0.001028485;0.000498836;0.00019939;0.000399366;0.000631635;0.002186777;0.00234646;0.003524743;0.00342825;0.004117184;0.003868729;-
