variable;country;unit;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Nuclear, Renewables, and Other;Saint Vincent/Grenadines;Quad Btu;0.000730596;0.000687701;0.000740172;0.00074136;0.00074168;0.000845622;0.000788554;0.000819055;0.000953959;0.001323872;0.00124958;0.001083988;0.000370577;0.001185427;(s);0.00015984;(s);0.000274173;0.00049076;0.00049142;0.000392153;(s);(s);0.000136559;0.000464591;0.000477875;0.000449997;0.000515536;0.000519243;(s);0.000497708;0.000242329;(s);0.000225972;0.000430253;0.000471994;0.000483822;-
Nuclear, Renewables, and Other;Samoa;Quad Btu;7.27E-05;7.32E-05;0.000125448;0.00012624;0.00016704;0.000177599;0.000628916;0.000607538;0.000609718;3.30E-05;3.24E-05;3.31E-05;(s);8.21E-05;8.22E-05;9.25E-05;0.000139541;0.000161372;0.000211829;0.000264061;0.000733651;0.0009742;0.000152698;0.000153243;0.000118054;0.000195988;0.000329732;0.000497099;0.000581705;0.000712598;0.000742277;0.000879343;0.000704201;0.000745111;0.000827908;0.000146679;0.000230952;-
Nuclear, Renewables, and Other;Sao Tome and Principe;Quad Btu;0.000541716;0.000541171;0.000551632;0.00053112;0.00055252;0.000567576;0.000521281;0.000531511;0.000531875;0.000531615;0.0009566;0.001008485;0.001010015;0.001007469;0.000220137;0.000220105;0.000223194;0.000219313;0.000208988;0.000229668;0.000996578;0.00093125;0.001053963;0.000174185;0.000328293;0.000404068;0.000493288;0.000553833;(s);(s);(s);(s);0.000100245;0.000100395;0.000100209;0.000180435;0.000128931;-
Nuclear, Renewables, and Other;Saudi Arabia;Quad Btu;(s);(s);0.00021;(s);0.00014;(s);(s);0.00025715;0.000776662;9.18E-05;(s);0.000319151;5.51E-05;0.000674282;0.000192436;0.00026506;(s);0.00057612;0.000960666;0.000332602;0.000122266;0.000439799;0.000818709;(s);0.000200808;0.00037733;6.98E-05;(s);0.001296616;0.000910989;0.000466157;0.000261262;(s);(s);(s);(s);(s);-
Nuclear, Renewables, and Other;Senegal;Quad Btu;0;0;0;0;0;0;(s);0.000473354;(s);(s);0.00030182;0.000519242;0.000602576;0.001335109;0.001064079;0.000268712;0.000741593;0.000913022;0.001170404;0.000651101;(s);2.58E-05;0.002107628;0.003616795;0.002929412;0.00200997;0.002482168;0.001993202;0.002348737;0.002055789;0.00278442;0.004215284;0.00328969;0.003288522;0.00361884;0.004021094;0.003800634;-
Nuclear, Renewables, and Other;Serbia;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.135172162;0.124074433;0.121263961;0.115457811;0.135541255;0.101015262;0.093175848;0.09345314;0.117703526;0.104200484;0.111874608;-
Nuclear, Renewables, and Other;Seychelles;Quad Btu;0;0;0;0;0;0;0.000250286;0.000488684;(s);(s);0.000158822;(s);(s);0.000118121;0.000118121;0.000368909;0.000388514;(s);(s);(s);(s);(s);2.07E-05;(s);(s);0.000245006;0.000196687;0.000315694;(s);(s);0.000308475;0.00028582;0.000136646;(s);(s);0.000460061;(s);-
Nuclear, Renewables, and Other;Sierra Leone;Quad Btu;0;0;0;0;0;0;0.000404244;(s);(s);0.000381192;(s);0.000459775;0.000174644;0.000156365;(s);0.000179508;5.66E-07;(s);(s);(s);(s);0.000547679;0.000601308;(s);0.00028536;2.28E-05;7.92E-05;0.000389166;0.000764227;0.000977579;0.000907656;0.001578282;0.000980239;0.001299572;0.001496946;0.002178773;0.001603091;-
Nuclear, Renewables, and Other;Singapore;Quad Btu;(s);(s);(s);3.08E-06;(s);2.59E-05;0.000669981;0.000741919;7.36E-05;0.00099549;0.001950599;0.005506714;0.005241121;0.005357372;0.00529615;0.005821937;0.005757479;0.005212112;0.00502064;0.005741422;0.005786291;0.009797769;0.010197527;0.010388133;0.009910108;0.009562266;0.00957552;0.009835469;0.010437352;0.010820472;0.011173067;0.011687936;0.013512956;0.013161289;0.014288526;0.015317354;0.01459479;-
Nuclear, Renewables, and Other;Slovakia;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;--;0.189158773;0.199361162;0.186300514;0.188656789;0.18125983;0.18676173;0.197229122;0.226531293;0.232042948;0.242700311;0.236847918;0.232413126;0.233382793;0.247269038;0.23317232;0.238086454;0.212212142;0.229494701;0.226712818;0.227611355;0.226124728;0.237469884;0.238397817;0.238794227;-
Nuclear, Renewables, and Other;Slovenia;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.068064332;0.064414597;0.07407781;0.074725787;0.076400186;0.076590596;0.077678327;0.079170913;0.082831031;0.086808781;0.085911018;0.083198778;0.093204029;0.093109013;0.091047527;0.090469855;0.097030344;0.092105063;0.094237623;0.091472634;0.091024378;0.094195612;0.113460128;0.095470349;0.098167894;-
Nuclear, Renewables, and Other;Solomon Islands;Quad Btu;0;0;0;0;0;0;(s);9.34E-06;0.000407773;0.00040206;0.00040206;0.00040206;0.000407773;0.00040206;0.00040206;0.00040206;0.000407773;0.00040206;0.00040206;0.000402081;(s);(s);(s);(s);(s);(s);(s);2.70E-05;(s);(s);5.48E-05;4.16E-06;3.05E-05;0.000217368;0.00025283;0.000238597;0.000313019;-
Nuclear, Renewables, and Other;Somalia;Quad Btu;0;0;0;0;0;0;0.000183037;(s);(s);0.000320849;(s);0.000272716;(s);9.14E-05;9.14E-05;9.14E-05;0.000113589;9.14E-05;9.14E-05;9.14E-05;0.000121057;0.000289035;0.000122919;0.000224169;0.000130781;0.000238481;0.00032425;0.000486927;0.000365312;0.000335115;(s);(s);(s);(s);(s);(s);(s);-
Nuclear, Renewables, and Other;South Africa;Quad Btu;0.009873921;0.016971833;0.011001507;0.006183236;0.046208253;0.061227021;0.108146894;0.080136323;0.140816668;0.143180148;0.093633491;0.105960318;0.095008649;0.062597082;0.096162729;0.109615638;0.116136391;0.132407223;0.15399843;0.15328922;0.159340652;0.141325204;0.166935725;0.14956931;0.157221217;0.139286655;0.130587099;0.13851041;0.140339074;0.132406019;0.155857791;0.149252938;0.130598859;0.141927594;0.176980815;0.166396032;0.225985298;-
Nuclear, Renewables, and Other;South Sudan;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.000365999;(s);0.000285755;2.13E-05;(s);-
Nuclear, Renewables, and Other;Spain;Quad Btu;0.37473468;0.342879822;0.371087695;0.410374017;0.595372576;0.632645322;0.682503823;0.729519661;0.88221494;0.780678424;0.793946169;0.825144585;0.743733418;0.803802423;0.84277759;0.823222158;0.983528101;0.903248266;0.950442222;0.864177755;0.967912028;1.125331816;0.970279076;1.157119981;1.089160563;0.966187783;1.065322517;1.069477045;1.140030787;1.210517301;1.506719696;1.369254403;1.361460456;1.571026963;1.576274293;1.443895033;1.537210821;-
Nuclear, Renewables, and Other;Sri Lanka;Quad Btu;0.015264166;0.016321002;0.016660386;0.012694167;0.02165649;0.02481552;0.027394879;0.022125655;0.027031973;0.028909707;0.032356227;0.032569151;0.029343569;0.038616343;0.042106922;0.045258376;0.033645372;0.035293997;0.040032167;0.042366826;0.031984525;0.03200587;0.027522313;0.033606468;0.030238105;0.03501173;0.038638124;0.038448808;0.040430433;0.038496132;0.056163599;0.045884031;0.03263557;0.0682912;0.046343854;0.059286715;0.042761538;-
Nuclear, Renewables, and Other;Sudan;Quad Btu;0.010468008;0.013083865;0.013346467;0.013402503;0.0131544;0.014876528;0.015137417;0.014582911;0.014960622;0.014954086;0.014867581;0.015691543;0.016859796;0.016632277;0.016384274;0.01487268;0.015975254;0.016252623;0.015338417;0.017897625;0.017298127;0.0181415;0.01794105;0.016811502;0.01618752;0.017831273;0.018098853;0.019050943;0.014287659;0.031290083;0.059540884;0.062067543;0.062938949;0.078597598;0.084252649;0.077772196;0.073518354;-
Nuclear, Renewables, and Other;Suriname;Quad Btu;0.009172607;0.008623727;0.010987159;0.007511293;0.00883224;0.010050014;0.008068464;0.002900954;0.005181752;0.010888216;0.012314189;0.014218546;0.01437059;0.015237314;0.015292694;0.012882659;0.013477727;0.013226821;0.013206126;0.013417497;0.007535642;0.00717201;0.007250044;0.007685064;0.007377735;0.007931217;0.00880116;0.008534018;0.008491219;0.008146911;0.012020179;0.011620787;0.011324944;0.0124704;0.013090465;0.012909033;0.01047436;-
Nuclear, Renewables, and Other;Swaziland;Quad Btu;0.001460967;0.001217419;0.000851659;0.001090119;0.001295679;0.00184886;0.002098553;0.002186717;0.003305945;0.003137305;0.002798917;0.002704298;0.00479217;0.00374945;0.00421872;0.003900666;0.004246371;0.004297177;0.004345404;0.004340273;0.004640202;0.004860235;0.005321919;0.00377777;0.004101623;0.005124153;0.004681782;0.003674903;0.004327213;0.004997495;0.005307363;0.005443467;0.005630439;0.005613213;0.006081017;0.00527086;0.004976895;-
Nuclear, Renewables, and Other;Sweden;Quad Btu;0.882644998;0.978087063;0.963313325;1.089090675;1.212285324;1.312091683;1.307440289;1.390042858;1.387815081;1.401017559;1.416472521;1.412812953;1.391657266;1.376849317;1.348626245;1.396585843;1.294113518;1.400822016;1.467822374;1.440781467;1.416487098;1.53066188;1.405658026;1.293491497;1.44963719;1.499604137;1.391068462;1.426815824;1.423906745;1.297230798;1.38632406;1.392498804;1.496618323;1.405762911;1.397916177;1.432454501;1.407838882;-
Nuclear, Renewables, and Other;Switzerland;Quad Btu;0.450390875;0.481636995;0.487499155;0.490521117;0.475918712;0.519641146;0.529953877;0.549901386;0.567417131;0.533918436;0.545682991;0.559715591;0.565526143;0.584518454;0.613733981;0.58935965;0.548209033;0.584179517;0.586079661;0.640035499;0.624749224;0.66762518;0.625101608;0.626181503;0.615296694;0.580215124;0.608945912;0.634521679;0.642129936;0.632721431;0.635621989;0.612312167;0.638067374;0.644573481;0.649441873;0.614625395;0.579714859;-
Nuclear, Renewables, and Other;Syria;Quad Btu;0.026557656;0.028033431;0.030102282;0.029532086;0.034160405;0.034186177;0.028645042;0.030091142;0.029089776;0.028189462;0.028663709;0.028020756;0.027806532;0.02637796;0.026707734;0.025821007;0.025312121;0.02635096;0.027502837;0.02548059;0.032746615;0.035001267;0.02544117;0.027498876;0.039308306;0.039752946;0.036648214;0.035709634;0.028364517;0.018398362;0.023966975;0.031786807;0.035116723;0.027028389;0.021871257;0.003042119;0.0080252;-
Nuclear, Renewables, and Other;Taiwan;Quad Btu;0.10883211;0.156172332;0.179893577;0.239994633;0.288668571;0.347098607;0.327942987;0.381387352;0.348708623;0.332074353;0.395790346;0.383011888;0.399497146;0.38349427;0.396232229;0.399500046;0.422882153;0.409457521;0.426244237;0.433824501;0.436559575;0.419343092;0.444588376;0.440274133;0.445571253;0.45424144;0.460387935;0.479725195;0.478573882;0.473983198;0.482632912;0.490564195;0.488001518;0.504231103;0.501522771;0.450953278;0.422399592;-
Nuclear, Renewables, and Other;Tajikistan;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.165871395;0.170475474;0.168030194;0.151611447;0.154053242;0.142720406;0.145793475;0.155990938;0.146667025;0.150048005;0.158107488;0.164276638;0.163487001;0.168662892;0.166480726;0.168288791;0.1663933;0.153874025;0.159158791;0.155737857;0.156633736;0.157975397;0.146523806;0.153203636;0.148132205;-
Nuclear, Renewables, and Other;Tanzania;Quad Btu;0.010281024;0.010679675;0.010774782;0.011221364;0.011449425;0.011666023;0.011103648;0.012383742;0.012325171;0.014524783;0.016467;0.01793488;0.017462219;0.017672863;0.015103983;0.015685804;0.01754894;0.015961508;0.021420445;0.022266178;0.021680621;0.026740524;0.027628543;0.025970937;0.02419948;0.017390182;0.014224836;0.025606094;0.026075723;0.026594275;0.02663853;0.020760542;0.017507097;0.016259889;0.02553954;0.019820882;0.022370097;-
Nuclear, Renewables, and Other;Thailand;Quad Btu;0.015392858;0.033242661;0.042187323;0.040878693;0.045570327;0.041834058;0.061696392;0.044566384;0.042004366;0.061341689;0.055246203;0.052083696;0.047639914;0.042279981;0.050547191;0.075534269;0.088499753;0.081529061;0.060954928;0.049941843;0.067953718;0.071370812;0.085002291;0.09392372;0.08460778;0.088275333;0.109910297;0.110520536;0.102482505;0.106874963;0.10870884;0.155616358;0.161061244;0.172670784;0.173978504;0.180273386;0.331065216;-
Nuclear, Renewables, and Other;Timor-Leste (East Timor);Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.0003855;(s);(s);(s);(s);8.35E-06;0.00036633;(s);(s);0.000299131;0.000475917;0.000431916;0.000287688;0.000349352;-
Nuclear, Renewables, and Other;Togo;Quad Btu;0.00100208;0.001083026;0.00129875;0.000943696;0.00107912;0.001527552;0.002075026;0.001678374;0.001965088;0.001493785;0.002156649;0.002816412;0.00248224;0.003726226;0.002120685;0.003201672;0.002696519;0.002062748;0.003126135;0.003123944;0.002184203;0.001957582;0.002809278;0.001993796;0.002972274;0.002473505;0.002270504;0.002615067;0.003427881;0.003422874;0.003467451;0.003814401;0.00413088;0.004878857;0.00508474;0.004773862;0.006417977;-
Nuclear, Renewables, and Other;Tonga;Quad Btu;0.000434;0.000636;0.000593;0.000636;0.000638;0.000663;0.000391297;0.000867727;8.51E-05;0.000340408;0.000340408;0.000361523;0.000294553;0.000291731;(s);(s);(s);(s);(s);(s);0.00049509;0.000346621;0.000460142;(s);(s);(s);(s);(s);(s);2.68E-06;(s);(s);(s);(s);(s);(s);(s);-
Nuclear, Renewables, and Other;Trinidad and Tobago;Quad Btu;(s);(s);(s);(s);(s);(s);0.000499476;0.001073876;(s);0.000959457;(s);0.000207839;(s);0.000540791;0.000316678;0.00030351;0.00080296;0.000871251;0.00028905;(s);8.55E-05;0.000426782;0.000120046;(s);0.000306911;0.001077523;0.000605946;0.001064057;0.000529159;(s);(s);(s);0.000103704;(s);0.00048354;(s);5.71E-05;-
Nuclear, Renewables, and Other;Tunisia;Quad Btu;0.002997319;0.003452948;0.002911772;0.002358273;0.003725414;0.004030873;0.003680052;0.004281023;0.00435304;0.003729664;0.003502384;0.003763246;0.004336351;0.004408454;0.00356334;0.003637732;0.004538525;0.003678578;0.001669151;0.004820502;0.003943337;0.003389662;0.002952634;0.003184212;0.002628484;0.001271634;0.001547345;0.001122457;0.001051435;0.001299588;0.002006186;0.002076319;0.002642881;0.004414189;0.004703069;0.004432999;0.005241059;-
Nuclear, Renewables, and Other;Turkey;Quad Btu;0.12176314;0.134731063;0.150917126;0.124250705;0.147912743;0.13136497;0.126814703;0.195697554;0.29858992;0.188848726;0.240655456;0.237701153;0.276991622;0.353137567;0.319545011;0.37384842;0.428265566;0.430392673;0.456920703;0.372831155;0.345863695;0.278406866;0.371364773;0.372275027;0.468665808;0.402467997;0.445527825;0.36578911;0.342660218;0.375070725;0.542218529;0.564033506;0.628946502;0.68530169;0.519001107;0.796223086;0.85821249;-
Nuclear, Renewables, and Other;Turkmenistan;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);-
Nuclear, Renewables, and Other;Turks and Caicos Islands;Quad Btu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000189097;0.000189615;0.000189097;0.000208008;0.000208008;0.000986417;4.73E-05;0.000394542;0.000433999;0.000477453;(s);(s);0.000346543;0.000498634;(s);(s);(s);(s);(s);(s);(s);2.74E-05;-
Nuclear, Renewables, and Other;U.S. Pacific Islands;Quad Btu;0;0;0;0;0;0.000167152;(s);(s);0.000621301;0.000198484;0.000410197;0.000411217;0.000108882;(s);(s);9.81E-05;0.000108882;9.81E-05;9.81E-05;9.82E-05;0.00014439;0.00014439;0.00014439;0.00014439;0.00014439;0.00014439;0.000238468;0.000238468;0.00025008;0.000238468;(s);0.000238468;0.00025008;0.000238468;0.000238468;0.000238468;0.00012843;-
Nuclear, Renewables, and Other;U.S. Territories;Quad Btu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-
Nuclear, Renewables, and Other;Uganda;Quad Btu;0.005589538;0.004751642;0.005075217;0.004652953;0.005652288;0.005827136;0.005984089;0.00575175;0.005763913;0.006759568;0.007483348;0.007613984;0.00932557;0.009516067;0.010323786;0.010521253;0.011546787;0.012144633;0.012047823;0.012114913;0.015015146;0.015687697;0.016526487;0.017479453;0.01798745;0.018657668;0.012022582;0.014480888;0.015925022;0.013725518;0.015535962;0.016419347;0.016679805;0.018932234;0.024282108;0.024478149;0.029885056;-
Nuclear, Renewables, and Other;Ukraine;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.826390364;0.886847057;0.834769187;0.825950992;0.90522697;0.919053708;0.923923165;0.857331967;0.856832979;0.882642921;0.892553663;0.896942237;0.942358574;0.997620036;1.040821945;1.065712703;1.02228675;0.930113651;1.005212756;0.974689036;0.94953703;0.926196361;0.989498093;1.011264041;0.941133471;-
Nuclear, Renewables, and Other;United Arab Emirates;Quad Btu;(s);0.000298;0.000277;(s);0.000327;(s);0.000272305;(s);(s);0.000123585;0.000335881;(s);0.000355624;(s);(s);(s);(s);(s);(s);0.000559651;0.000242289;0.000944525;0.000151416;(s);(s);7.74E-05;(s);0.000548341;(s);(s);7.31E-05;0.000112477;(s);0.000294898;0.003032273;0.002572207;0.005064465;-
Nuclear, Renewables, and Other;United Kingdom;Quad Btu;0.420695866;0.429461542;0.51794408;0.609519576;0.672870017;0.65866221;0.646676471;0.67170758;0.776657767;0.864185828;0.83885871;0.944956764;1.03809338;1.185051022;1.19096345;1.193264018;1.255463255;1.310238245;1.329270807;1.281518488;1.155146603;1.211709704;1.188862997;1.126216022;0.992697119;1.016299973;0.963403684;0.813938756;0.754974573;0.885759449;0.821040224;0.96921558;1.034364054;1.189397334;1.267107545;1.488593141;1.496103293;-
Nuclear, Renewables, and Other;United States;Quad Btu;8.002668;8.511832525;9.16985051;9.767623495;10.070347;10.23435082;10.53701631;10.47370883;11.12161337;11.83207027;12.09338402;12.49253882;12.33774754;12.51673959;12.78362857;13.71189407;14.17459249;13.66735055;13.59677264;14.15798746;14.00603209;13.14371195;13.82641646;13.73402729;14.16956717;14.16661907;14.47628025;14.48419412;14.89371323;15.07434157;15.55868382;16.32866601;15.84944536;16.57409153;16.91529671;16.80868681;17.41252408;-
Nuclear, Renewables, and Other;Uruguay;Quad Btu;0.02359677;0.026535796;0.025484952;0.062633095;0.062436006;0.057584377;0.064916764;0.064478299;0.04789391;0.036472363;0.068544582;0.057411074;0.069819057;0.06793882;0.071254312;0.060537125;0.059148604;0.065230212;0.085802128;0.058567158;0.073026258;0.09161093;0.091503568;0.084174413;0.056088722;0.069368222;0.045646509;0.080492698;0.054675332;0.06395783;0.092202118;0.073253312;0.06458018;0.088870929;0.106925148;0.107728579;0.114974044;-
Nuclear, Renewables, and Other;Uzbekistan;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.061776515;0.073318689;0.072939841;0.059438567;0.07028996;0.060987103;0.061796072;0.062092061;0.064019433;0.063010122;0.062707661;0.076121135;0.08909092;0.085553533;0.089699843;0.062647918;0.110745033;0.089099842;0.104697177;0.098648967;0.105570171;0.109713464;0.111448856;0.10564263;0.104226768;-
Nuclear, Renewables, and Other;Vanuatu;Quad Btu;0;0;0;0;0;0;(s);0.000455415;(s);(s);(s);0.000380532;0.000724002;0.000722233;0.000722233;0.000722233;0.000724002;0.000722233;0.000722233;0.000722267;0.000303174;0.000451473;0.00038512;(s);0.00030815;0.000308167;0.000213372;(s);(s);0.000241757;0.000317116;(s);0.000220262;0.000139423;0.000438127;0.000275631;0.000381624;-
Nuclear, Renewables, and Other;Venezuela;Quad Btu;0.154400736;0.161453982;0.167596158;0.19602721;0.206237025;0.233853532;0.26614082;0.324688473;0.355123852;0.362376779;0.384151992;0.462632309;0.485354547;0.486039794;0.526151831;0.529982175;0.556197339;0.58256403;0.587151075;0.614758275;0.637191275;0.620543575;0.601076632;0.606718086;0.694151724;0.76466037;0.801127241;0.813411786;0.847835905;0.829590124;0.742366745;0.807259571;0.776515749;0.793619381;0.822782943;0.692061568;0.619701986;-
Nuclear, Renewables, and Other;Vietnam;Quad Btu;0.012008678;0.013561537;0.01451284;0.014958972;0.015520726;0.016571679;0.017252853;0.018654008;0.01867367;0.039662629;0.056221609;0.064118847;0.072806423;0.081115882;0.093855707;0.108568158;0.123701534;0.117694711;0.112060298;0.139142943;0.147092344;0.186936113;0.183355333;0.190621713;0.176337972;0.21212398;0.207407837;0.233179475;0.26879347;0.305929816;0.284365903;0.410161071;0.505177364;0.503271764;0.573011283;0.528976214;0.596331005;-
Nuclear, Renewables, and Other;Virgin Islands,  U.S.;Quad Btu;0;0;0;0;0;0;(s);(s);(s);(s);0.000319855;0.000379979;(s);0.000294392;7.33E-05;0.000488976;9.49E-06;(s);2.40E-05;0.00019201;1.74E-05;0.000393671;0.00021955;(s);(s);(s);1.47E-05;0.000126669;0.000311754;(s);0.000129341;(s);(s);0.000331421;0.000573178;0.000290916;0.000208408;-
Nuclear, Renewables, and Other;Virgin Islands, British;Quad Btu;0.000324;0.00051;0.000511;0.00051;0.000469;0.000483;0.000256425;0.000660772;0.000662478;0.000660772;0.000660772;0.000660772;0.000662478;0.000660772;0.000660772;0.000660772;0.000854738;0.000852506;0.000852506;0.000852523;0.000492735;(s);(s);(s);(s);(s);3.37E-05;0.000108205;0.000265235;0.000374254;0.000446574;0.000503697;0.000494786;0.000494814;(s);(s);(s);-
Nuclear, Renewables, and Other;Wake Island;Quad Btu;0;0;0;0;0;0;0.000478673;0.000478673;0.000321777;0.000271718;(s);(s);0.000114255;6.48E-05;6.00E-05;0.000266973;(s);(s);(s);(s);(s);(s);1.74E-05;1.74E-05;1.74E-05;(s);0.00032018;0.00032018;0.000373112;0.00032018;0.000158585;0.00032018;0.000373112;0.00032018;0.00032018;0.00032018;0.000373112;-
Nuclear, Renewables, and Other;Western Sahara;Quad Btu;0;0;0;0;0;0;(s);(s);(s);(s);(s);(s);(s);(s);(s);0.000180113;0.000187844;0.000180113;0.000180113;0.000180153;(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);-
Nuclear, Renewables, and Other;Yemen;Quad Btu;0;0;0;0;0;0;(s);0.000347145;(s);(s);(s);0.000174645;0.000183792;(s);(s);(s);(s);0.000428415;0.000373505;0.00016965;0.000197233;(s);(s);0.000379575;(s);0.000180673;(s);0.000475529;0.000567939;(s);0.000316293;0.000949786;(s);(s);0.001719455;0.005757936;0.006763618;-
Nuclear, Renewables, and Other;Zambia;Quad Btu;0.084377572;0.091048426;0.09296218;0.093387975;0.092065396;0.092004566;0.090626303;0.082220214;0.080619767;0.06459841;0.075435294;0.075187471;0.073980834;0.074103355;0.074530356;0.075400682;0.068460359;0.076354814;0.072180029;0.073123576;0.074217169;0.077849608;0.079398428;0.081286875;0.083635023;0.088685906;0.093792157;0.09382274;0.092877393;0.093755859;0.098644845;0.110325117;0.113199624;0.121680793;0.127838323;0.119486373;0.105351304;-
Nuclear, Renewables, and Other;Zimbabwe;Quad Btu;0.048656746;0.050511056;0.047220239;0.046458301;0.044401796;0.040571375;0.042786035;0.029938093;0.031482572;0.040624775;0.046020859;0.04171582;0.036486645;0.024593691;0.020451067;0.01984206;0.022764597;0.024308361;0.021753024;0.03467263;0.045028034;0.039012918;0.047685672;0.059170718;0.059148097;0.055814666;0.063194807;0.060146181;0.057583614;0.054244624;0.055804123;0.048026851;0.050564961;0.048304339;0.049442619;0.044155702;0.033483825;-
