"categoryCode","categoryName","Unit","CountryISO","CountryNames","Entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"IPC1","Energy","MtCO2eq","ISL","ICELAND","CH4",0.0066629,0.0067203,0.0067605,0.0071015,0.0061852,0.0057927,0.0059795,0.0054957,0.0057043,0.0053736,0.0054082,0.005179,0.0053728,0.0053278,0.0056548,0.005196,0.0059945,0.0068778,0.0066922,0.0064162,0.0080442,0.0069999,0.0063254,0.0068596,0.0072971,0.0074178,0.006754,NaN,
"IPC1","Energy","MtCO2eq","ISR","ISRAEL","CH4",NaN,NaN,NaN,NaN,NaN,NaN,0.074571,NaN,NaN,NaN,0.072717,NaN,NaN,0.070983,0.070031,0.070461,0.072027,0.075163,0.076329,0.075532,0.078274,0.079744,0.084876,0.080308,0.080992,0.085431,NaN,NaN,
"IPC1","Energy","MtCO2eq","ITA","ITALY","CH4",9.4927,9.5906,9.6196,9.5107,9.3122,9.1229,8.9439,8.9673,8.9982,8.7926,8.434,7.9762,7.6077,7.8397,7.2367,7.6608,7.2624,7.5873,7.9451,7.6695,7.862,7.1128,7.6276,7.4879,7.009,6.7004,6.4332,NaN,
"IPC1","Energy","MtCO2eq","JOR","JORDAN","CH4",NaN,NaN,NaN,NaN,0.032295,NaN,NaN,NaN,NaN,NaN,0.12933,NaN,NaN,NaN,NaN,NaN,0.021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","JPN","JAPAN","CH4",5.3525,4.9254,4.5272,4.0056,3.6413,3.4237,3.1484,2.9855,2.783,2.746,2.6555,2.4037,2.0342,2.0299,2.1439,2.2321,2.2955,2.3484,2.2925,2.2007,2.2982,1.9822,1.9918,1.925,1.9102,1.9344,1.8835,NaN,
"IPC1","Energy","MtCO2eq","KAZ","KAZAKHSTAN","CH4",19.0666,20.453,18.7707,16.2371,14.9589,12.5789,11.5905,10.6218,10.3158,8.5114,10.884,12.5208,11.4898,13.2239,13.7583,13.0528,14.3931,15.0072,17.0701,15.3303,17.7723,18.6713,19.4717,19.647,18.7448,17.032,17.2072,NaN,
"IPC1","Energy","MtCO2eq","KEN","KENYA","CH4",NaN,NaN,NaN,NaN,NaN,1.6183,NaN,NaN,NaN,NaN,1.932,NaN,NaN,NaN,NaN,1.974,NaN,NaN,NaN,NaN,3.8443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","KGZ","KYRGYZSTAN","CH4",1.1705,1.0545,0.88971,0.76382,0.6118,0.51533,0.41022,0.31376,0.24914,0.19487,0.32856,0.4559,0.7561,1.0587,1.371,1.667,1.5266,1.514,1.6621,1.125,0.97798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","KOR","KOREA, REPUBLIC OF","CH4",7.9344,6.9313,5.6828,4.755,4.0463,3.5778,3.5158,3.5685,3.3367,3.5927,3.7991,3.8819,4.0072,4.1318,4.4075,4.5547,4.7011,4.9766,5.0591,4.8369,5.4846,5.8269,6.1515,6.2906,5.9405,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","LBN","LEBANON","CH4",NaN,NaN,NaN,NaN,0.062678,NaN,NaN,NaN,NaN,NaN,0.03402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04032,0.04431,0.04448,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","LCA","SAINT LUCIA","CH4",NaN,NaN,NaN,NaN,0.0016915,NaN,NaN,NaN,NaN,NaN,0.0027426,NaN,NaN,NaN,NaN,0.0025998,NaN,NaN,NaN,NaN,0.0024885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","LIE","LIECHTENSTEIN","CH4",0.00096413,0.001005,0.0010676,0.0010672,0.001065,0.0010686,0.0011126,0.0011522,0.0011999,0.0012534,0.0013754,0.0013347,0.0013658,0.0014424,0.0014932,0.00155,0.0015974,0.0016842,0.0017217,0.0017028,0.0017539,0.0017497,0.001744,0.001689,0.0016519,0.0017285,0.0017019,NaN,
"IPC1","Energy","MtCO2eq","LTU","LITHUANIA","CH4",0.45605,0.45966,0.33998,0.34808,0.33855,0.33191,0.32959,0.33033,0.3248,0.3189,0.32347,0.32583,0.33775,0.34512,0.36228,0.39958,0.39416,0.37662,0.37785,0.36351,0.38751,0.33951,0.38846,0.38483,0.41022,0.41653,0.42534,NaN,
"IPC1","Energy","MtCO2eq","LUX","LUXEMBOURG","CH4",0.038557,0.04085,0.040148,0.039661,0.038155,0.038771,0.040028,0.039765,0.039202,0.039641,0.040082,0.043261,0.05462,0.054906,0.05977,0.058846,0.060606,0.056575,0.054828,0.055174,0.058677,0.050841,0.052758,0.047105,0.04576,0.043119,0.041684,NaN,
"IPC1","Energy","MtCO2eq","LVA","LATVIA","CH4",0.41889,0.42849,0.38419,0.38735,0.37988,0.37849,0.37664,0.35527,0.33124,0.32174,0.29844,0.31307,0.31199,0.28805,0.29227,0.30197,0.26373,0.26557,0.24789,0.25664,0.22684,0.20051,0.22696,0.23436,0.26065,0.21737,0.22843,NaN,
"IPC1","Energy","MtCO2eq","MAR","MOROCCO","CH4",NaN,NaN,NaN,NaN,1.344,NaN,NaN,NaN,NaN,NaN,2.0336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9198,NaN,4.0121,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","MCO","MONACO","CH4",0.0017315,0.0015974,0.0014686,0.001214,0.0010042,0.00087046,0.00087047,0.0008529,0.00084259,0.00084625,0.00080494,0.00076096,0.00076152,0.0007473,0.00073615,0.00074469,0.00074217,0.00072532,0.00068896,0.00064223,0.00061879,0.0006189,0.00062445,0.0006185,0.00059787,0.00058758,0.00058348,NaN,
"IPC1","Energy","MtCO2eq","MDA","MOLDOVA, REPUBLIC OF","CH4",0.96358,0.86073,0.68775,0.60832,0.59093,0.61849,0.68363,0.54791,0.50808,0.50246,0.53949,0.53215,0.58224,0.61869,0.65652,0.70064,0.61887,0.64682,0.64511,0.54146,0.55819,0.63674,0.6333,0.61759,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","MDG","MADAGASCAR","CH4",NaN,NaN,NaN,NaN,0.68355,NaN,NaN,NaN,NaN,NaN,0.8862,NaN,NaN,NaN,NaN,0.6972,1.4656,1.5219,0.7782,0.8223,0.8776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","MEX","MEXICO","CH4",18.5109,18.8252,18.6092,19.316,19.4453,20.3167,24.8789,28.0339,29.3215,26.3863,27.0476,25.4973,24.6246,25.9916,24.7788,25.3216,26.7126,30.564,41.3076,38.7251,33.9243,32.263,28.1053,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","MHL","MARSHALL ISLANDS","CH4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0032288,NaN,NaN,NaN,NaN,0.0038833,NaN,NaN,NaN,NaN,0.0069302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","MKD","MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF","CH4",0.16863,0.16081,0.16131,0.16682,0.16923,0.17164,0.16532,0.15947,0.18011,0.1629,0.18958,0.19713,0.18976,0.22953,0.22314,0.20964,0.21233,0.20524,0.23751,0.23468,0.23184,0.22901,0.22617,0.19992,0.19845,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","MLT","MALTA","CH4",0.0040678,0.0042161,0.0045852,0.0046654,0.0048838,0.0049287,0.0050431,0.0050722,0.0048926,0.0048032,0.0046695,0.0041264,0.0040051,0.0041452,0.0038647,0.0040468,0.0039902,0.0040449,0.0043382,0.0037278,0.0036749,0.0036197,0.0037099,0.0034003,0.0033968,0.0028746,0.0024907,NaN,
"IPC1","Energy","MtCO2eq","MNE","MONTENEGRO","CH4",0.12033,0.10332,0.10689,0.12159,0.09135,0.10437,0.09639,0.08694,0.08253,0.08568,0.08547,0.07266,0.11592,0.10017,0.10206,0.0945,0.10059,0.0966,0.10479,0.09387,0.11256,0.11613,0.11319,0.10731,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","MNG","MONGOLIA","CH4",0.28476,0.35925,0.33797,0.3364,0.31407,0.32785,0.2841,0.29216,0.31264,0.32725,0.36008,0.37768,0.42164,0.43397,0.4606,0.57359,0.70302,0.75557,0.78128,0.84641,0.92557,1.0701,1.2171,1.3609,1.3612,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","MRT","MAURITANIA","CH4",0.002289,0.002058,0.002163,0.00231,0.002457,0.002583,0.002625,0.002646,0.002394,0.002289,0.002058,0.001932,0.0021,0.002226,0.002373,0.002331,0.002457,0.002562,0.002457,0.002709,0.002793,0.002898,0.002961,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","MUS","MAURITIUS","CH4",NaN,NaN,NaN,NaN,NaN,0.010731,NaN,NaN,NaN,NaN,0.0098112,0.0098112,0.008925,0.0092715,0.0091602,0.0091854,0.00735,NaN,NaN,NaN,NaN,NaN,NaN,0.01008,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","MYS","MALAYSIA","CH4",6.67,7.8782,8.4281,11.4578,12.5786,14.1904,16.5336,18.7267,19.0483,20.1934,22.1857,22.7642,22.4112,22.6416,24.6831,27.4186,27.3873,27.7613,28.8796,27.5939,30.399,29.849,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","NAM","NAMIBIA","CH4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0609,0.0609,0.063,0.063,0.063,0.063,0.0651,0.0651,0.0651,0.0651,0.0651,0.063,0.063,NaN,NaN,NaN,NaN,NaN,
